vid,brand_name,model_name,avg_rating,min_price,max_price,image,body_type,engine,mileage
190,Porsche,911,5.0,₹ 1.62 Cr*,₹ 1.99 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Porsche/911/7652/Porsche-911-Carrera/1582882032873/front-left-side-47.jpg,Coupe,2981,9.0
191,Porsche,Panamera,5.0,₹ 1.89 Cr*,₹ 2.52 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Porsche/Panamera/4504/1579595790692/front-left-side-47.jpg,Sedans,3996,10.75
192,Ferrari,Portofino,5.0,₹ 3.5 Cr*,₹ 3.5 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Ferrari/Ferrari-Portofino/6172/1550828910903/front-left-side-47.jpg,Convertibles,3855,9.0
193,Ferrari,GTC4Lusso,4.0,₹ 4.26 Cr*,₹ 4.97 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Ferrari/Ferrari-GTC4Lusso/4892/front-left-side-47.jpg,Coupe,6262,4.0
194,Ferrari,488,4.6,₹ 4.4 Cr*,₹ 4.4 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Ferrari/Ferrari-488-GTB/6830/1565596137792/front-left-side-47.jpg,Coupe,3902,7.75
195,Ferrari,812 Superfast,4.9,₹ 5.2 Cr*,₹ 5.2 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Ferrari/Ferrari-812-SuperFast/6301/1550829293731/front-left-side-47.jpg,Coupe,6496,6.7
196,Rolls-Royce,Ghost,4.1,₹ 6.21 Cr*,₹ 7.0 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Rolls-Royce/Rolls-Royce-Ghost/3541/1556599498897/front-left-side-47.jpg,Sedans,6592,10.2
197,Rolls-Royce,Wraith,5.0,₹ 6.71 Cr*,₹ 7.21 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Rolls-Royce/Rolls-Royce-Wraith/2555/front-left-side-47.jpg,Coupe,6592,10.2
198,Rolls-Royce,Rolls-Royce Cullinan,4.9,₹ 6.95 Cr*,₹ 6.95 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Rolls-Royce/Rolls-Royce-Cullinan/6405/1556533266269/front-left-side-47.jpg,SUV,6750,9.5
199,Rolls-Royce,Dawn,5.0,₹ 7.3 Cr*,₹ 7.85 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Rolls-Royce/Rolls-Royce-Dawn/4289/1556525892112/front-left-side-47.jpg,Convertibles,6598,9.8
200,Rolls-Royce,Phantom,4.6,₹ 9.5 Cr*,₹ 11.35 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Rolls-Royce/Rolls-Royce-Phantom/809/1551166187443/front-left-side-47.jpg,Coupe,6749,9.8
201,Bentley,Flying Spur,4.8,₹ 3.21 Cr*,₹ 3.41 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Bentley/Bentley-Flying-Spur/3081/1556258398038/front-left-side-47.jpg,Sedans,5998,10.2
202,Bentley,Continental,4.5,₹ 3.29 Cr*,₹ 4.42 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Bentley/Bentley-Continental/34/1550823860141/front-left-side-47.jpg,Sedans,5998,9.5
203,Bentley,Bentayga,5.0,₹ 3.78 Cr*,₹ 3.85 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Bentley/Bentley-Bentayga/6454/1556259226969/front-left-side-47.jpg,SUV,5950,10.9
204,Bentley,Mulsanne,4.4,₹ 5.55 Cr*,₹ 5.55 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Bentley/Bentley-Mulsanne/36/1550824747369/front-left-side-47.jpg,Sedans,6752,10.1
205,DC,Avanti,3.9,₹ 48.0 Lakh*,₹ 48.0 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/DC/Avanti/5193/1570790896230/front-left-side-47.jpg,Coupe,2000,10.0
206,Bugatti,Chiron,4.2,₹ 19.21 Cr*,₹ 21.21 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Bugatti/Bugatti-Chiron/6524/1550828170128/front-left-side-47.jpg,Coupe,7993,5.95
207,Force,Gurkha,4.3,₹ 9.75 Lakh*,₹ 13.3 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Force/Force-Gurkha/5743/front-left-side-47.jpg,SUV,2149,17.0
208,Mitsubishi,Outlander,4.8,₹ 27.19 Lakh*,₹ 27.19 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mitsubishi/Mitsubishi-Outlander/6477/1551100207021/front-left-side-47.jpg,SUV,2360,10.2
209,Mitsubishi,Pajero Sport,4.3,₹ 27.91 Lakh*,₹ 30.0 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mitsubishi/Mitsubishi-Pajero/1851/front-left-side-47.jpg,SUV,2477,13.5
210,Bajaj,Qute (RE60),3.8,₹ 2.48 Lakh*,₹ 2.78 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Bajaj/Bajaj-RE60/6892/1556086911186/front-left-side-47.jpg,Hatchback,216,43.0
211,Lamborghini,Huracan,4.9,₹ 2.99 Cr*,₹ 3.97 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Lamborghini/Huracan/7651/1582720003752/front-left-side-47.jpg,Coupe,5204,11.24
212,Lamborghini,Urus,5.0,₹ 3.1 Cr*,₹ 3.1 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Lamborghini/Lamborghini-Urus/4851/1556518725473/front-left-side-47.jpg,SUV,3996,8.0
213,Lamborghini,Huracan EVO,4.9,₹ 3.22 Cr*,₹ 4.1 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Lamborghini/Huracan-EVO/6729/1570440785813/front-left-side-47.jpg,Coupe,5204,7.19
214,Lamborghini,Aventador,4.7,₹ 5.01 Cr*,₹ 6.25 Cr*,https://stimg.cardekho.com/images/carexteriorimages/360x240/Lamborghini/Lamborghini-Aventador/1556261160137/047.jpg,Coupe,6498,7.69
215,Mini,Cooper 3 DOOR,4.7,₹ 29.9 Lakh*,₹ 43.9 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mini/Mini-3-DOOR/6917/1559363752813/front-left-side-47.jpg,Hatchback,1998,16.47
216,Mini,Cooper 5 DOOR,4.0,₹ 36.0 Lakh*,₹ 36.0 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mini/Mini-5-DOOR/3582/1556530637278/front-left-side-47.jpg,Hatchback,1496,20.7
217,Mini,Countryman,4.7,₹ 37.4 Lakh*,₹ 42.4 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mini/Mini-Cooper-Countryman/6279/1551096601065/front-left-side-47.jpg,Hatchback,1998,16.6
218,Mini,Cooper Convertible,4.5,₹ 38.9 Lakh*,₹ 38.9 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mini/Mini-Cooper-Convertible/1726/front-left-side-47.jpg,Convertibles,1998,16.7
219,Mini,Clubman,0.0,₹ 41.2 Lakh*,₹ 41.2 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mini/Mini-Cooper-Clubman/1725/1563866199256/front-left-side-47.jpg,Hatchback,1998,13.79
220,Aston Martin,Rapide,4.1,₹ 3.29 Cr*,₹ 3.29 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Aston-Martin/Aston-Martin-Rapide/5142/front-left-side-47.jpg,Sedans,5935,10.9
221,Aston Martin,DB11,4.5,₹ 3.97 Cr*,₹ 3.97 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Aston-Martin/Aston-Martin-DB11/5456/1556196143987/front-left-side-47.jpg,Coupe,5204,6.0
222,Maserati,Ghibli,0.0,₹ 1.35 Cr*,₹ 1.52 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maserati/Ghibli/7552/1582365598262/front-left-side-47.jpg,Sedans,2987,16.94
223,Maserati,Levante,5.0,₹ 1.49 Cr*,₹ 1.64 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maserati/Levante/7547/1582365134672/front-left-side-47.jpg,SUV,2979,12.0
224,Maserati,Quattroporte,4.0,₹ 1.71 Cr*,₹ 2.11 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maserati/Quattroporte/7561/1582364877697/front-left-side-47.jpg,Sedans,3799,11.76
225,Maserati,GranTurismo,5.0,₹ 2.25 Cr*,₹ 2.51 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maserati/Maserati-Gran-Turismo/6660/1559626637346/front-left-side-47.jpg,Coupe,4691,10.0
226,Maserati,GranCabrio,3.7,₹ 2.46 Cr*,₹ 2.69 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maserati/Maserati-Gran-Cabrio/4203/front-left-side-47.jpg,Convertibles,4691,10.2
