vid,brand_name,model_name,avg_rating,min_price,max_price,image,body_type,engine,mileage
52,Mahindra,KUV100 NXT,4.3,₹ 4.88 Lakh*,₹ 7.94 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Mahindra-KUV-100/6069/front-left-side-47.jpg,Hatchback,1198,25.32
53,Mahindra,e2oPlus,3.8,₹ 6.07 Lakh*,₹ 6.83 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Mahindra-e2o-Plus/5487/1556194637042/front-left-side-47.jpg,Hatchback,,110.0
54,Mahindra,Verito Vibe,4.1,₹ 6.58 Lakh*,₹ 7.51 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Mahindra-Verito-Vibe/2417/1550810642721/front-left-side-47.jpg,Hatchback,1461,20.8
55,Mahindra,Bolero Pik-Up,4.5,₹ 6.9 Lakh*,₹ 7.19 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Bolero-Pik-Up/7230/1573280100232/front-left-side-47.jpg,Pickup Trucks,2523,0.0
56,Mahindra,Verito,4.2,₹ 7.48 Lakh*,₹ 8.87 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Mahindra-Verito/2293/1556195492457/front-left-side-47.jpg,Sedans,1461,21.03
57,Mahindra,Bolero Power Plus,4.7,₹ 7.61 Lakh*,₹ 8.99 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Mahindra-Bolero-Power-Plus/6486/front-view-118.jpg,SUV,1493,16.5
58,Mahindra,XUV300,4.6,₹ 8.3 Lakh*,₹ 12.68 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/XUV300/7239/1579261790507/front-left-side-47.jpg,SUV,1497,20.0
59,Mahindra,TUV 300,4.4,₹ 8.54 Lakh*,₹ 10.55 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Mahindra-TUV-300/6914/1556881143282/front-left-side-47.jpg,SUV,1493,18.49
60,Mahindra,E Verito,4.6,₹ 9.12 Lakh*,₹ 9.46 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/360x240/Mahindra/Mahindra-E-Verito/047.jpg,Sedans,,0.0
61,Mahindra,Xylo,4.1,₹ 9.17 Lakh*,₹ 12.0 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Mahindra-Xylo/1616/1550813511065/front-left-side-47.jpg,MUV,2179,14.02
62,Mahindra,Thar,4.4,₹ 9.59 Lakh*,₹ 9.99 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Mahindra-Thar/6989/1561115576578/front-left-side-47.jpg,SUV,2498,16.55
63,Mahindra,TUV 300 Plus,4.6,₹ 9.92 Lakh*,₹ 11.42 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Mahindra-TUV-300-Plus/6469/front-left-side-47.jpg,SUV,2179,18.49
64,Mahindra,Marazzo,4.7,₹ 9.99 Lakh*,₹ 14.76 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Marazzo/6571/1579860084896/front-left-side-47.jpg,MUV,1497,17.3
65,Mahindra,Scorpio,4.6,₹ 10.19 Lakh*,₹ 16.83 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Mahindra-Scorpio/6120/1549006757162/front-left-side-47.jpg,SUV,2179,16.36
66,Mahindra,XUV500,4.3,₹ 12.3 Lakh*,₹ 18.62 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Mahindra-XUV500/6360/front-left-side-47.jpg,SUV,2179,15.1
67,Mahindra,Alturas G4,4.9,₹ 27.7 Lakh*,₹ 30.7 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Mahindra-Alturas-G4/6708/1547729558138/front-left-side-47.jpg,SUV,2157,12.05
68,Renault,KWID,4.5,₹ 2.92 Lakh*,₹ 5.01 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Renault/KWID/7426/1580286379253/front-left-side-47.jpg,Hatchback,999,24.04
69,Renault,Triber,4.4,₹ 4.99 Lakh*,₹ 6.78 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Renault/Triber/7418/1580113966019/front-left-side-47.jpg,MUV,999,20.0
70,Renault,Duster,4.5,₹ 7.99 Lakh*,₹ 12.49 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Renault/Renault-Duster/7014/1562581388944/front-left-side-47.jpg,SUV,1461,19.87
71,Renault,Lodgy,4.2,₹ 8.63 Lakh*,₹ 12.11 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Renault/Renault-Lodgy/5532/front-left-side-47.jpg,MUV,1461,19.98
72,Renault,Captur,4.6,₹ 9.49 Lakh*,₹ 12.99 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Renault/Renault-Captur/6868/1556006265951/front-left-side-47.jpg,SUV,1461,20.37
73,Ford,Figo,4.6,₹ 5.39 Lakh*,₹ 7.85 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Ford/Figo/7598/1582114400242/front-left-side-47.jpg,Hatchback,1499,24.4
74,Ford,Freestyle,4.7,₹ 5.89 Lakh*,₹ 8.19 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Ford/Freestyle/7599/1582116363682/front-left-side-47.jpg,Hatchback,1498,23.8
75,Ford,Aspire,4.6,₹ 5.99 Lakh*,₹ 8.34 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Ford/Aspire/7606/1582117845890/front-left-side-47.jpg,Sedans,1498,24.4
76,Ford,EcoSport,4.6,₹ 8.04 Lakh*,₹ 11.58 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Ford/Ecosport/7347/1579861367280/front-left-side-47.jpg,SUV,1498,21.7
77,Ford,Endeavour,4.3,₹ 29.55 Lakh*,₹ 33.25 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Ford/Endeavour/7591/1582629289185/front-left-side-47.jpg,SUV,1996,13.9
78,Ford,Mustang,4.7,₹ 74.62 Lakh*,₹ 74.62 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Ford/Mustang/1102/1569565000696/front-left-side-47.jpg,Coupe,4951,13.0
79,Nissan,Micra Active,4.1,₹ 5.28 Lakh*,₹ 6.03 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Nissan/Nissan-Micra-Active/2520/1563864334756/front-left-side-47.jpg,Hatchback,1198,19.69
80,Nissan,Micra,4.0,₹ 6.66 Lakh*,₹ 8.16 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Nissan/Nissan-Micra/6540/1556168538901/front-left-side-47.jpg,Hatchback,1461,23.19
81,Nissan,Sunny,4.5,₹ 7.07 Lakh*,₹ 9.93 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Nissan/Nissan-Sunny/5591/front-left-side-47.jpg,Sedans,1498,17.5
82,Nissan,Kicks,4.3,₹ 9.55 Lakh*,₹ 13.69 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Nissan/Kicks/6756/1568865552889/front-left-side-47.jpg,Hatchback,1461,20.45
83,Nissan,Terrano,4.4,₹ 9.99 Lakh*,₹ 14.64 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Nissan/Nissan-Terrano/5701/1556017951761/front-left-side-47.jpg,SUV,1461,19.61
84,Nissan,GT-R,4.9,₹ 2.12 Cr*,₹ 2.12 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Nissan/Nissan-GTR/744/front-left-side-47.jpg,Coupe,3798,9.0
85,Datsun,redi-GO,4.4,₹ 2.82 Lakh*,₹ 4.4 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Datsun/Datsun-RediGO/4035/front-left-side-47.jpg,Hatchback,999,23.0
86,Datsun,GO,4.3,₹ 3.77 Lakh*,₹ 6.21 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Datsun/Datsun-GO/6649/front-left-side-47.jpg,Hatchback,1198,20.07
87,Datsun,GO Plus,4.2,₹ 4.15 Lakh*,₹ 6.83 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Datsun/Datsun-GO-Plus/6654/front-left-side-47.jpg,MUV,1198,19.41
88,Toyota,Etios Liva,4.4,₹ 5.34 Lakh*,₹ 7.77 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Toyota/Toyota-Etios-Liva/5438/1556110462017/front-left-side-47.jpg,Hatchback,1364,23.59
89,Toyota,Etios Cross,4.6,₹ 6.5 Lakh*,₹ 8.02 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Toyota/Toyota-Etios-Cross/2818/front-left-side-47.jpg,Hatchback,1364,23.59
90,Toyota,Platinum Etios,4.2,₹ 6.5 Lakh*,₹ 9.13 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Toyota/Toyota-Etios/5430/front-left-side-47.jpg,Sedans,1364,23.59
91,Toyota,Glanza,4.2,₹ 6.97 Lakh*,₹ 8.9 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Toyota/Toyota-Glanza/6902/1559807182519/front-left-side-47.jpg,Hatchback,1197,19.56
92,Toyota,Yaris,4.3,₹ 8.76 Lakh*,₹ 14.18 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Toyota/Yaris/7283/1579858168291/front-left-side-47.jpg,Hatchback,1496,17.8
93,Toyota,Innova Crysta,4.6,₹ 15.36 Lakh*,₹ 23.02 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Toyota/Innova-Crysta/7298/1578374701577/front-left-side-47.jpg,MUV,2393,13.68
94,Toyota,Corolla Altis,4.3,₹ 16.45 Lakh*,₹ 20.19 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Toyota/Toyota-Corolla-Altis/5673/1555996480970/front-left-side-47.jpg,Sedans,1798,14.28
95,Toyota,Fortuner,4.7,₹ 28.18 Lakh*,₹ 33.95 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Toyota/Fortuner/7618/1582180576624/front-left-side-47.jpg,SUV,2755,15.04
96,Toyota,Camry,4.7,₹ 37.88 Lakh*,₹ 37.88 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Toyota/Toyota-Camry/6765/1548746490056/front-left-side-47.jpg,Sedans,2487,19.16
97,Toyota,Prius,3.2,₹ 45.09 Lakh*,₹ 45.09 Lakh*,https://stimg.cardekho.com/car-images/carexteriorimages/630x420/Toyota/Toyota-Prius/5643/front-left-side-047.jpg,Hybrids,1798,26.27
98,Toyota,Vellfire,5.0,₹ 79.5 Lakh*,₹ 79.5 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Toyota/Toyota-Vellfire/7024/1563439989810/front-left-side-47.jpg,MUV,2494,0.0
99,MG,Hector,4.7,₹ 12.73 Lakh*,₹ 17.43 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/MG/Hector/7480/1580466437017/front-left-side-47.jpg,SUV,1451,13.96
100,MG,ZS EV,4.4,₹ 20.88 Lakh*,₹ 23.58 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/MG/ZS-EV/6873/1577175248756/front-left-side-47.jpg,SUV,,0.0
101,Kia,Seltos,4.6,₹ 9.89 Lakh*,₹ 17.34 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Kia/Seltos/6226/1580962193955/front-left-side-47.jpg,SUV,1493,17.8
102,Kia,Carnival,4.5,₹ 24.95 Lakh*,₹ 33.95 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Kia/Kia-Carnival/7011/1565587390548/front-left-side-47.jpg,MUV,2199,0.0
103,Volkswagen,Polo,4.4,₹ 5.84 Lakh*,₹ 9.88 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Volkswagen/Volkswagen-Polo/7143/1567599623608/front-left-side-47.jpg,Hatchback,1498,21.49
104,Volkswagen,Ameo,4.4,₹ 5.95 Lakh*,₹ 9.9 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Volkswagen/Volkswagen-Ameo/6313/1556003485791/front-left-side-47.jpg,Sedans,1498,21.66
105,Volkswagen,Vento,4.6,₹ 8.78 Lakh*,₹ 14.49 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Volkswagen/Volkswagen-Vento/7157/1567669268825/front-left-side-47.jpg,Sedans,1498,22.15
106,Volkswagen,Tiguan,4.6,₹ 28.07 Lakh*,₹ 31.46 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Volkswagen/Volkswagen-Tiguan/5857/front-left-side-47.jpg,SUV,1968,16.65
107,Skoda,Rapid,4.3,₹ 8.81 Lakh*,₹ 14.25 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Skoda/Skoda-Rapid/1464/1549454668066/side-view-(left)-90.jpg,Sedans,1498,21.72
108,Skoda,Octavia,4.4,₹ 15.99 Lakh*,₹ 36.0 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Skoda/Octavia/5909/1575634322881/front-left-side-47.jpg,Sedans,1968,19.5
109,Skoda,Superb,4.5,₹ 23.99 Lakh*,₹ 33.49 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Skoda/Skoda-Superb/4911/1555487699791/front-left-side-47.jpg,Sedans,1968,18.19
110,Skoda,Kodiaq,4.7,₹ 33.99 Lakh*,₹ 36.78 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Skoda/Kodiaq/5357/1569903737948/front-left-side-47.jpg,SUV,1968,16.25
111,Jeep,Compass,4.2,₹ 16.49 Lakh*,₹ 24.99 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Jeep/Jeep-Compass/5937/1559651334039/front-left-side-47.jpg,SUV,1956,17.1
112,Jeep,Compass Trailhawk,4.5,₹ 26.8 Lakh*,₹ 27.6 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Jeep/Jeep-Trailhawk/6974/1561461281768/front-left-side-47.jpg,SUV,1956,16.3
113,Jeep,Wrangler,4.9,₹ 63.94 Lakh*,₹ 63.94 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Jeep/Jeep-Wrangler/6491/1565593371233/front-left-side-47.jpg,SUV,1998,12.1
114,Jeep,Grand Cherokee,4.7,₹ 78.88 Lakh*,₹ 1.14 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Jeep/Jeep-Grand-Cherokee/1979/1559652101053/front-left-side-47.jpg,SUV,2998,5.5
115,Fiat,Punto EVO,4.5,₹ 5.35 Lakh*,₹ 7.47 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Fiat/Fiat-Punto-EVO/5294/1542279816078/front-left-side-47.jpg,Hatchback,1248,20.5
116,Fiat,Avventura Urban Cross,5.0,₹ 6.77 Lakh*,₹ 9.77 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Fiat/Fiat-Avventura-Urban-Cross/4874/1557209618012/front-left-side-47.jpg,Hatchback,1368,14.4
117,Fiat,Avventura,3.8,₹ 7.11 Lakh*,₹ 8.76 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Fiat/Avventura/5266/1576069362698/front-left-side-47.jpg,Hatchback,1248,20.5
118,Fiat,Linea,4.2,₹ 7.82 Lakh*,₹ 10.76 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Fiat/Fiat-Linea/5288/1550837106711/front-left-side-47.jpg,Sedans,1368,14.2
119,Fiat,Abarth Punto,4.7,₹ 9.67 Lakh*,₹ 9.67 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Fiat/Fiat-Punto-Abarth/4479/1550838871759/front-left-side-47.jpg,Hatchback,1368,16.3
120,Fiat,Abarth Avventura,5.0,₹ 9.89 Lakh*,₹ 9.89 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Fiat/Abarth-Avventura/718/1574163662125/front-left-side-47.jpg,Hatchback,1368,17.1
121,Isuzu,D-Max V-Cross,4.7,₹ 16.54 Lakh*,₹ 19.99 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Isuzu/Isuzu-D-Max-V-Cross/6992/1561110648347/front-left-side-47.jpg,Pickup Trucks,1999,12.4
122,Isuzu,ISUZU MUX,4.5,₹ 27.34 Lakh*,₹ 29.31 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Isuzu/Isuzu-MU-X/6663/front-left-side-47.jpg,SUV,2999,13.8
123,Audi,A3,4.7,₹ 29.2 Lakh*,₹ 32.21 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Audi/Audi-A3/5749/front-left-side-47.jpg,Sedans,1968,20.38
124,Audi,Q3,4.3,₹ 34.96 Lakh*,₹ 43.61 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Audi/Audi-Q3/5911/1556088228664/front-left-side-47.jpg,SUV,1968,15.17
125,Audi,A4,4.6,₹ 41.49 Lakh*,₹ 46.96 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Audi/A4/7228/1572929406146/front-left-side-47.jpg,Sedans,1968,18.25
126,Audi,Q5,4.5,₹ 50.21 Lakh*,₹ 56.21 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Audi/Q5/7225/1575029133626/front-left-side-47.jpg,SUV,1984,8.5
127,Audi,A3 cabriolet,4.6,₹ 50.59 Lakh*,₹ 50.59 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Audi/Audi-A3-cabriolet/5620/1556607490704/front-left-side-47.jpg,Convertibles,1395,19.2
128,Audi,A6,4.7,₹ 54.42 Lakh*,₹ 59.42 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Audi/A6/6426/1571906388003/front-left-side-47.jpg,Sedans,1984,15.26
129,Audi,A5,5.0,₹ 60.61 Lakh*,₹ 69.48 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Audi/Audi-A5/8/front-left-side-47.jpg,Sedans,1968,17.2
130,Audi,Q7,4.4,₹ 69.21 Lakh*,₹ 81.11 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Audi/Audi-Q7/7165/1568627077914/front-left-side-47.jpg,SUV,2967,14.75
131,Audi,S5,4.5,₹ 72.65 Lakh*,₹ 72.65 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Audi/S5/6035/1575089709979/front-left-side-47.jpg,Sedans,2995,12.28
132,Audi,RS5,4.5,₹ 1.11 Cr*,₹ 1.11 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Audi/Audi-RS5/24/front-left-side-47.jpg,Coupe,2894,11.05
133,Audi,Q8,4.6,₹ 1.33 Cr*,₹ 1.33 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Audi/Q8/135/1581404410220/front-left-side-47.jpg,SUV,2995,0.0
134,Audi,A8,5.0,₹ 1.56 Cr*,₹ 1.56 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Audi/Audi-A8-2019/6722/1544785682176/front-left-side-47.jpg,Sedans,2995,0.0
135,Mercedes-Benz,GLA Class,4.6,₹ 32.33 Lakh*,₹ 41.51 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mercedes-Benz/Mercedes-Benz-GLA-Class/5896/1555489163313/front-left-side-47.jpg,SUV,2143,17.9
136,Mercedes-Benz,C-Class,4.4,₹ 40.9 Lakh*,₹ 75.0 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mercedes-Benz/C-Class/6675/1570438129512/front-left-side-47.jpg,Convertibles,2996,11.9
137,Mercedes-Benz,GLC,5.0,₹ 52.75 Lakh*,₹ 57.75 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mercedes-Benz/GLC/6837/1576565007128/front-left-side-47.jpg,SUV,1950,0.0
138,Mercedes-Benz,E-Class,4.6,₹ 59.07 Lakh*,₹ 1.5 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mercedes-Benz/E-Class/7581/1581591024912/front-left-side-47.jpg,Sedans,3982,10.98
139,Mercedes-Benz,V-Class,4.0,₹ 68.4 Lakh*,₹ 1.46 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mercedes-Benz/V-Class/7519/Mercedes-Benz-V-Class-Marco-Polo-Horizon/1580975581761/front-left-side-47.jpg,MUV,2143,16.0
140,Mercedes-Benz,GLE,3.7,₹ 73.7 Lakh*,₹ 1.25 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mercedes-Benz/GLE/6732/1580365808263/front-left-side-47.jpg,SUV,2925,9.7
141,Mercedes-Benz,E-Class All-Terrain,5.0,₹ 75.0 Lakh*,₹ 75.0 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mercedes-Benz/Mercedes-Benz-E-Class-All-Terrain/6167/front-left-side-47.jpg,Wagons,1950,12.6
142,Mercedes-Benz,CLS,4.4,₹ 84.7 Lakh*,₹ 84.7 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mercedes-Benz/Mercedes-Benz-CLS-Class/6684/1541421574163/front-left-side-47.jpg,Sedans,1950,19.0
143,Mercedes-Benz,GLS,4.9,₹ 87.76 Lakh*,₹ 88.2 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mercedes-Benz/Mercedes-Benz-GLS/5404/front-left-side-47.jpg,SUV,2987,11.0
144,Mercedes-Benz,S-Class,5.0,₹ 1.35 Cr*,₹ 2.78 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mercedes-Benz/S-Class/6285/1573626627472/front-left-side-47.jpg,Sedans,5980,7.08
145,Mercedes-Benz,G-Class,4.8,₹ 1.5 Cr*,₹ 2.19 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mercedes-Benz/G-Class/7194/Mercedes-Benz-G-Class-G-350d/1571213652846/front-left-side-47.jpg,SUV,3998,8.13
146,Mercedes-Benz,AMG GT,5.0,₹ 2.27 Cr*,₹ 2.32 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mercedes-Benz/AMG-GT/5942/1571386469223/front-left-side-47.jpg,Coupe,3982,12.65
147,Mercedes-Benz,AMG GT 4-Door Coupe,0.0,₹ 2.42 Cr*,₹ 2.42 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mercedes-Benz/AMG-GT-4-Door-Coupe/7324/1581577056607/front-left-side-47.jpg,Coupe,3998,0.0
148,BMW,X1,4.5,₹ 35.2 Lakh*,₹ 45.7 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/BMW-X1/4863/front-left-side-47.jpg,SUV,1995,20.68
149,BMW,3 Series,4.9,₹ 41.4 Lakh*,₹ 48.5 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/BMW-3-Series/7097/1567065124604/front-left-side-47.jpg,Sedans,1998,16.13
150,BMW,3 Series GT,4.9,₹ 47.7 Lakh*,₹ 50.7 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/BMW-3-Series-GT/6634/front-left-side-47.jpg,Sedans,1995,21.76
151,BMW,5 Series,4.5,₹ 55.4 Lakh*,₹ 66.8 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/5-Series/247/1569407584980/front-left-side-47.jpg,Sedans,2993,18.59
152,BMW,X3,4.9,₹ 56.0 Lakh*,₹ 60.5 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/BMW-X3/6691/1558085336399/front-left-side-47.jpg,SUV,1998,13.32
153,BMW,X4,4.7,₹ 60.6 Lakh*,₹ 65.9 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/BMW-X4/6392/1556867341933/front-left-side-47.jpg,SUV,2993,14.71
154,BMW,6 Series,4.9,₹ 64.4 Lakh*,₹ 74.5 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/BMW-6-Series/6475/1542178839026/front-left-side-47.jpg,Sedans,2993,17.09
155,BMW,Z4,5.0,₹ 66.0 Lakh*,₹ 80.5 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/BMW-Z4/6873/1554784181731/front-left-side-47.jpg,Convertibles,2998,14.37
156,BMW,X5,4.8,₹ 73.3 Lakh*,₹ 84.4 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/BMW-X5/6455/1558002027816/front-left-side-47.jpg,SUV,2998,11.24
157,BMW,M2,5.0,₹ 83.4 Lakh*,₹ 83.4 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/BMW-M2/6553/1550825715959/front-left-side-47.jpg,Coupe,2979,10.63
158,BMW,X7,4.8,₹ 1.02 Cr*,₹ 1.06 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/BMW-X7/7028/1564040002009/front-left-side-47.jpg,SUV,2998,10.54
159,BMW,7 Series,4.8,₹ 1.22 Cr*,₹ 2.44 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/BMW-7-Series/6732/1564054967018/front-left-side-47.jpg,Sedans,6592,7.96
160,BMW,M Series,5.0,₹ 1.35 Cr*,₹ 1.54 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/M-Series/7196/1570622880813/front-left-side-47.jpg,Sedans,4395,9.8
161,Jaguar,XE,4.9,₹ 44.98 Lakh*,₹ 46.33 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Jaguar/XE/6836/1578638648168/front-left-side-47.jpg,Sedans,1999,0.0
162,Jaguar,XF,4.4,₹ 49.78 Lakh*,₹ 61.39 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Jaguar/Jaguar-XF/5449/1559808281457/front-left-side-47.jpg,Sedans,1999,19.33
