brand_name,model_name,starting_price,body_type,engine-cc,mileage
Rolls-Royce,Wraith,₹ 6.71 Cr*,Coupe,6592.0,10.2
Rolls-Royce,Rolls-Royce Cullinan,₹ 6.95 Cr*,SUV,6750.0,9.5
Rolls-Royce,Dawn,₹ 7.3 Cr*,Convertibles,6598.0,9.8
Rolls-Royce,Phantom,₹ 9.5 Cr*,Coupe,6749.0,9.8
Bentley,Flying Spur,₹ 3.21 Cr*,Sedans,5998.0,10.2
Bentley,Continental,₹ 3.29 Cr*,Sedans,5998.0,9.5
Bentley,Bentayga,₹ 3.78 Cr*,SUV,5950.0,10.9
Bentley,Mulsanne,₹ 5.55 Cr*,Sedans,6752.0,10.1
DC,Avanti,₹ 48.0 Lakh*,Coupe,2000.0,10.0
Bugatti,Chiron,₹ 19.21 Cr*,Coupe,7993.0,5.95
Force,Gurkha,₹ 9.75 Lakh*,SUV,2149.0,17.0
Mitsubishi,Outlander,₹ 27.19 Lakh*,SUV,2360.0,10.2
Mitsubishi,Pajero Sport,₹ 27.91 Lakh*,SUV,2477.0,13.5
Bajaj,Qute (RE60),₹ 2.48 Lakh*,Hatchback,216.0,43.0
Lamborghini,Huracan,₹ 2.99 Cr*,Coupe,5204.0,11.24
Lamborghini,Urus,₹ 3.1 Cr*,SUV,3996.0,8.0
Lamborghini,Huracan EVO,₹ 3.22 Cr*,Coupe,5204.0,7.19
Lamborghini,Aventador,₹ 5.01 Cr*,Coupe,6498.0,7.69
Mini,Cooper 3 DOOR,₹ 29.9 Lakh*,Hatchback,1998.0,16.47
Mini,Cooper 5 DOOR,₹ 36.0 Lakh*,Hatchback,1496.0,20.7
Mini,Countryman,₹ 37.4 Lakh*,Hatchback,1998.0,16.6
Mini,Cooper Convertible,₹ 38.9 Lakh*,Convertibles,1998.0,16.7
Mini,Clubman,₹ 41.2 Lakh*,Hatchback,1998.0,13.79
Aston Martin,Rapide,₹ 3.29 Cr*,Sedans,5935.0,10.9
Aston Martin,DB11,₹ 3.97 Cr*,Coupe,5204.0,6.0
Maserati,Ghibli,₹ 1.35 Cr*,Sedans,2987.0,16.94
Maserati,Levante,₹ 1.49 Cr*,SUV,2979.0,12.0
Maserati,Quattroporte,₹ 1.71 Cr*,Sedans,3799.0,11.76
Maserati,GranTurismo,₹ 2.25 Cr*,Coupe,4691.0,10.0
Maserati,GranCabrio,₹ 2.46 Cr*,Convertibles,4691.0,10.2
